Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Date
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2020-01-02 16:45:58.090663464
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,2020-01-02 20:18:39.663764635
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,2020-01-02 22:05:00.450315220
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,2020-01-03 01:37:42.023416391
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,2020-01-03 03:24:02.809966976
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2020-01-03 05:10:23.596517562
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,2020-01-03 06:56:44.383068147
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,2020-01-03 08:43:05.169618733
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,2020-01-03 10:29:25.956169318
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,2020-01-03 12:15:46.742719903
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,2020-01-03 17:34:49.102371660
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,2020-01-03 21:07:30.675472831
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,2020-01-03 22:53:51.462023416
Standard Class,Corporate,United States,others,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,2020-01-04 00:40:12.248574001
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,2020-01-04 02:26:33.035124587
Standard Class,Corporate,United States,others,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,2020-01-04 04:12:53.821675172
First Class,Corporate,United States,others,others,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,2020-01-04 05:59:14.608225758
First Class,Corporate,United States,others,others,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,2020-01-04 07:45:35.394776343
Second Class,Consumer,United States,others,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,2020-01-04 09:31:56.181326928
Standard Class,Consumer,United States,others,others,19901,East,Technology,Accessories,45.0,3,0.0,4.95,2020-01-04 11:18:16.967877514
Standard Class,Consumer,United States,others,others,19901,East,Technology,Phones,21.8,2,0.0,6.104,2020-01-04 13:04:37.754428099
Standard Class,Consumer,United States,others,others,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,2020-01-04 14:50:58.540978685
Standard Class,Consumer,United States,others,others,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,2020-01-04 16:37:19.327529270
Standard Class,Consumer,United States,others,others,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,2020-01-04 18:23:40.114079855
Standard Class,Consumer,United States,others,others,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,2020-01-04 20:10:00.900630441
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2020-01-04 21:56:21.687181026
First Class,Consumer,United States,others,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,2020-01-05 01:29:03.260282197
First Class,Consumer,United States,others,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,2020-01-05 03:15:24.046832783
First Class,Consumer,United States,others,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,2020-01-05 05:01:44.833383368
First Class,Consumer,United States,others,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,2020-01-05 06:48:05.619933953
First Class,Consumer,United States,others,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,2020-01-05 08:34:26.406484539
First Class,Consumer,United States,others,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,2020-01-05 10:20:47.193035124
First Class,Consumer,United States,others,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,2020-01-05 12:07:07.979585710
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,2020-01-05 13:53:28.766136295
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,2020-01-05 15:39:49.552686880
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,2020-01-05 17:26:10.339237466
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,2020-01-05 19:12:31.125788051
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,2020-01-05 20:58:51.912338637
Standard Class,Corporate,United States,others,others,85234,West,Technology,Phones,167.968,4,0.2,62.988,2020-01-06 00:31:33.485439807
First Class,Consumer,United States,Springfield,others,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,2020-01-06 02:17:54.271990393
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,2020-01-06 04:04:15.058540978
Second Class,Consumer,United States,others,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,2020-01-06 05:50:35.845091564
Standard Class,Consumer,United States,others,others,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,2020-01-06 09:23:17.418192734
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,2020-01-06 12:55:58.991293905
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,2020-01-06 14:42:19.777844491
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,2020-01-06 16:28:40.564395076
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,2020-01-06 18:15:01.350945662
First Class,Corporate,United States,others,others,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,2020-01-06 20:01:22.137496247
First Class,Corporate,United States,others,others,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,2020-01-06 21:47:42.924046832
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,2020-01-06 23:34:03.710597418
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,2020-01-07 01:20:24.497148003
Standard Class,Corporate,United States,others,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,2020-01-07 03:06:45.283698589
Second Class,Consumer,United States,others,others,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,2020-01-07 06:39:26.856799759
Standard Class,Consumer,United States,others,others,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,2020-01-07 08:25:47.643350345
Standard Class,Consumer,United States,others,others,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,2020-01-07 10:12:08.429900930
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,2020-01-07 11:58:29.216451516
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,2020-01-07 13:44:50.003002101
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,2020-01-07 15:31:10.789552686
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,2020-01-07 17:17:31.576103272
Second Class,Consumer,United States,others,others,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,2020-01-07 19:03:52.362653857
Second Class,Consumer,United States,others,others,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,2020-01-07 20:50:13.149204443
Second Class,Consumer,United States,others,others,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,2020-01-07 22:36:33.935755028
Standard Class,Home Office,United States,others,others,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,2020-01-08 00:22:54.722305614
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,2020-01-08 02:09:15.508856199
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,2020-01-08 03:55:36.295406784
Standard Class,Corporate,United States,others,others,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,2020-01-08 05:41:57.081957370
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,2020-01-08 07:28:17.868507955
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,2020-01-08 09:14:38.655058541
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,2020-01-08 11:00:59.441609126
Second Class,Consumer,United States,others,others,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,2020-01-08 12:47:20.228159711
Standard Class,Consumer,United States,others,others,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,2020-01-08 16:20:01.801260882
Standard Class,Consumer,United States,others,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,2020-01-08 19:52:43.374362053
Standard Class,Consumer,United States,others,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,2020-01-08 21:39:04.160912638
Standard Class,Consumer,United States,others,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,2020-01-08 23:25:24.947463224
Standard Class,Home Office,United States,others,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,2020-01-09 01:11:45.734013809
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,2020-01-09 02:58:06.520564395
Standard Class,Consumer,United States,others,others,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,2020-01-09 04:44:27.307114980
Standard Class,Consumer,United States,others,others,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,2020-01-09 06:30:48.093665566
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2020-01-09 08:17:08.880216151
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2020-01-09 10:03:29.666766736
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,2020-01-09 11:49:50.453317322
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2020-01-09 13:36:11.239867907
First Class,Consumer,United States,others,others,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,2020-01-09 18:55:13.599519663
First Class,Consumer,United States,others,others,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,2020-01-09 20:41:34.386070249
First Class,Consumer,United States,others,others,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,2020-01-09 22:27:55.172620834
First Class,Consumer,United States,others,others,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,2020-01-10 00:14:15.959171420
First Class,Consumer,United States,others,others,19805,East,Technology,Phones,68.04,7,0.0,19.7316,2020-01-10 02:00:36.745722005
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,2020-01-10 03:46:57.532272590
Standard Class,Consumer,United States,others,others,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,2020-01-10 07:19:39.105373761
Standard Class,Consumer,United States,others,others,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499,2020-01-10 09:05:59.891924347
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602,2020-01-10 10:52:20.678474932
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416,2020-01-10 12:38:41.465025517
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994,2020-01-10 14:25:02.251576103
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,2020-01-10 16:11:23.038126688
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,2020-01-10 17:57:43.824677274
Standard Class,Consumer,United States,others,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,2020-01-10 19:44:04.611227859
Standard Class,Consumer,United States,others,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568,2020-01-10 21:30:25.397778445
Standard Class,Consumer,United States,others,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.456,2020-01-10 23:16:46.184329030
Standard Class,Consumer,United States,others,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,2020-01-11 01:03:06.970879615
Standard Class,Consumer,United States,others,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616,2020-01-11 02:49:27.757430201
Standard Class,Consumer,United States,others,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,2020-01-11 04:35:48.543980786
Standard Class,Consumer,United States,others,California,95661,West,Furniture,Furnishings,43.12,14,0.0,20.6976,2020-01-11 06:22:09.330531372
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35,2020-01-11 08:08:30.117081957
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814,2020-01-11 09:54:50.903632542
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,2020-01-11 11:41:11.690183128
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976,2020-01-11 13:27:32.476733713
Standard Class,Consumer,United States,others,California,91104,West,Office Supplies,Storage,671.93,7,0.0,20.1579,2020-01-11 17:00:14.049834884
Standard Class,Home Office,United States,others,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.9096,2020-01-11 18:46:34.836385469
Standard Class,Corporate,United States,others,others,53132,Central,Technology,Phones,149.97,3,0.0,5.9988,2020-01-11 22:19:16.409486640
Standard Class,Corporate,United States,others,others,53132,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,2020-01-12 01:51:57.982587811
First Class,Home Office,United States,others,others,85254,West,Office Supplies,Appliances,157.92,5,0.2,17.766,2020-01-12 03:38:18.769138396
First Class,Home Office,United States,others,others,85254,West,Technology,Phones,203.184,2,0.2,15.2388,2020-01-12 05:24:39.555688982
First Class,Corporate,United States,others,California,95123,West,Office Supplies,Paper,58.38,7,0.0,26.271,2020-01-12 07:11:00.342239567
First Class,Corporate,United States,others,California,95123,West,Office Supplies,Paper,105.52,4,0.0,48.5392,2020-01-12 08:57:21.128790153
First Class,Corporate,United States,others,California,95123,West,Office Supplies,Storage,80.88,6,0.0,21.0288,2020-01-12 10:43:41.915340738
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,0.0,1.7901,2020-01-12 12:30:02.701891324
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,0.2,51.4764,2020-01-12 14:16:23.488441909
Standard Class,Consumer,United States,others,others,73034,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,2020-01-12 16:02:44.274992494
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,2.691,2020-01-12 19:35:25.848093665
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,0.2,1.3596,2020-01-12 21:21:46.634644251
Standard Class,Consumer,United States,others,others,88220,West,Office Supplies,Envelopes,28.4,5,0.0,13.348,2020-01-12 23:08:07.421194836
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2,0.2,9.688,2020-01-13 00:54:28.207745421
Standard Class,Consumer,United States,others,Texas,78207,Central,Office Supplies,Art,9.936,3,0.2,2.7324,2020-01-13 02:40:48.994296007
Standard Class,Consumer,United States,others,Texas,78207,Central,Office Supplies,Art,32.064,6,0.2,6.8136,2020-01-13 09:46:12.140498348
Standard Class,Consumer,United States,others,Texas,78207,Central,Technology,Phones,143.976,3,0.2,8.9985,2020-01-13 13:18:53.713599519
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3,0.0,9.8418,2020-01-13 15:05:14.500150105
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,110.96,2,0.0,53.2608,2020-01-13 16:51:35.286700690
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,340.144,7,0.2,21.259,2020-01-13 18:37:56.073251276
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16,4,0.2,6.552,2020-01-13 22:10:37.646352446
Second Class,Consumer,United States,others,Ohio,43055,East,Furniture,Chairs,396.802,7,0.3,-11.3372,2020-01-14 01:43:19.219453617
Second Class,Consumer,United States,others,Ohio,43055,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715,2020-01-14 03:29:40.006004203
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.28,1,0.0,1.4104,2020-01-14 05:16:00.792554788
Second Class,Corporate,United States,others,Illinois,62521,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,2020-01-14 07:02:21.579105373
Second Class,Corporate,United States,others,Illinois,62521,Central,Technology,Accessories,408.744,7,0.2,76.6395,2020-01-14 08:48:42.365655959
Second Class,Home Office,United States,others,others,71203,South,Technology,Phones,149.95,5,0.0,41.986,2020-01-14 12:21:23.938757130
Second Class,Home Office,United States,others,others,71203,South,Technology,Accessories,29.0,2,0.0,7.25,2020-01-14 14:07:44.725307715
Standard Class,Consumer,United States,others,others,6824,East,Office Supplies,Binders,7.16,2,0.0,3.4368,2020-01-14 15:54:05.511858301
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,176.8,8,0.0,22.984,2020-01-14 17:40:26.298408886
Standard Class,Corporate,United States,others,Texas,75051,Central,Office Supplies,Storage,37.224,3,0.2,3.7224,2020-01-14 19:26:47.084959471
Standard Class,Corporate,United States,others,Texas,75051,Central,Office Supplies,Paper,20.016,3,0.2,6.255,2020-01-14 21:13:07.871510057
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,71.76,6,0.0,20.0928,2020-01-15 00:45:49.444611228
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,51.84,8,0.0,24.8832,2020-01-15 02:32:10.231161813
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,626.352,3,0.2,46.9764,2020-01-15 04:18:31.017712398
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,19.9,5,0.0,6.567,2020-01-15 06:04:51.804262984
Standard Class,Corporate,United States,others,California,92374,West,Office Supplies,Envelopes,14.28,7,0.0,6.7116,2020-01-15 07:51:12.590813569
Standard Class,Consumer,United States,others,Ohio,45011,East,Office Supplies,Art,7.408,2,0.2,1.2038,2020-01-15 09:37:33.377364155
Standard Class,Consumer,United States,others,Ohio,45011,East,Office Supplies,Art,6.048,3,0.2,1.5876,2020-01-15 11:23:54.163914740
Standard Class,Home Office,United States,others,others,7090,East,Office Supplies,Storage,46.26,3,0.0,12.0276,2020-01-15 13:10:14.950465325
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,2.946,2,0.7,-2.2586,2020-01-15 14:56:35.737015911
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,16.056,3,0.2,5.8203,2020-01-15 16:42:56.523566496
Standard Class,Consumer,United States,others,Ohio,44312,East,Office Supplies,Paper,21.744,3,0.2,6.795,2020-01-15 18:29:17.310117082
First Class,Consumer,United States,others,others,80219,West,Office Supplies,Appliances,2.6,1,0.2,0.2925,2020-01-15 22:01:58.883218252
Standard Class,Corporate,United States,others,others,37064,South,Furniture,Furnishings,35.168,7,0.2,9.6712,2020-01-16 01:34:40.456319423
Standard Class,Consumer,United States,others,California,90604,West,Technology,Phones,444.768,4,0.2,44.4768,2020-01-16 03:21:01.242870009
Standard Class,Consumer,United States,others,Michigan,48601,Central,Office Supplies,Storage,83.92,4,0.0,5.8744,2020-01-16 05:07:22.029420594
Standard Class,Consumer,United States,others,Michigan,48601,Central,Technology,Phones,131.98,2,0.0,35.6346,2020-01-16 06:53:42.815971180
Standard Class,Consumer,United States,others,Michigan,48601,Central,Office Supplies,Binders,15.92,4,0.0,7.4824,2020-01-16 08:40:03.602521765
Standard Class,Consumer,United States,others,Michigan,48601,Central,Office Supplies,Fasteners,52.29,9,0.0,16.2099,2020-01-16 10:26:24.389072350
Standard Class,Consumer,United States,others,Michigan,48601,Central,Office Supplies,Storage,91.99,1,0.0,3.6796,2020-01-16 12:12:45.175622936
Second Class,Corporate,United States,others,Texas,75220,Central,Technology,Accessories,20.8,2,0.2,6.5,2020-01-16 13:59:05.962173521
Standard Class,Corporate,United States,others,Ohio,44256,East,Office Supplies,Labels,23.68,2,0.2,8.88,2020-01-16 15:45:26.748724107
Standard Class,Corporate,United States,others,Ohio,44256,East,Technology,Phones,62.982,3,0.4,-14.6958,2020-01-16 19:18:08.321825277
Standard Class,Corporate,United States,others,Ohio,44256,East,Technology,Accessories,89.584,2,0.2,4.4792,2020-01-16 22:50:49.894926448
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Storage,93.06,6,0.0,26.0568,2020-01-17 00:37:10.681477034
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,302.376,3,0.2,22.6782,2020-01-17 02:23:31.468027619
First Class,Consumer,United States,others,Ohio,43017,East,Office Supplies,Fasteners,5.584,2,0.2,1.8148,2020-01-17 04:09:52.254578204
First Class,Consumer,United States,others,Ohio,43017,East,Office Supplies,Paper,22.704,6,0.2,8.2302,2020-01-17 05:56:13.041128790
First Class,Consumer,United States,others,Ohio,43017,East,Office Supplies,Binders,19.776,4,0.7,-13.8432,2020-01-17 07:42:33.827679375
First Class,Consumer,United States,others,Ohio,43017,East,Furniture,Furnishings,72.704,4,0.2,19.0848,2020-01-17 09:28:54.614229961
First Class,Consumer,United States,others,Ohio,43017,East,Office Supplies,Art,27.168,2,0.2,2.7168,2020-01-17 13:01:36.187331132
Standard Class,Corporate,United States,others,Michigan,48227,Central,Office Supplies,Art,2.2,1,0.0,0.968,2020-01-17 14:47:56.973881717
Standard Class,Corporate,United States,others,Michigan,48227,Central,Office Supplies,Storage,21.98,1,0.0,0.2198,2020-01-17 18:20:38.546982888
Standard Class,Consumer,United States,others,others,38401,South,Furniture,Chairs,389.696,8,0.2,43.8408,2020-01-17 21:53:20.120084059
Standard Class,Corporate,United States,others,North Carolina,28205,South,Office Supplies,Binders,18.648,7,0.7,-12.432,2020-01-17 23:39:40.906634644
Standard Class,Home Office,United States,others,Florida,33614,South,Office Supplies,Binders,5.328,2,0.7,-3.552,2020-01-18 04:58:43.266286400
Standard Class,Home Office,United States,others,Florida,33614,South,Furniture,Furnishings,258.072,3,0.2,0.0,2020-01-18 06:45:04.052836986
Standard Class,Home Office,United States,others,Florida,33614,South,Technology,Accessories,617.976,3,0.2,-7.7247,2020-01-18 08:31:24.839387571
Standard Class,Corporate,United States,others,California,95051,West,Office Supplies,Paper,10.56,2,0.0,4.752,2020-01-18 10:17:45.625938156
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,25.92,5,0.2,9.396,2020-01-18 12:04:06.412488742
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,11.688,3,0.6,-4.6752,2020-01-18 15:36:47.985589913
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,31.984,2,0.2,11.1944,2020-01-18 17:23:08.772140498
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,4.044,3,0.6,-2.8308,2020-01-18 20:55:50.345241669
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,7.408,2,0.2,1.2038,2020-01-18 22:42:11.131792254
Second Class,Home Office,United States,others,others,55044,Central,Office Supplies,Storage,166.72,2,0.0,41.68,2020-01-19 02:14:52.704893425
Second Class,Home Office,United States,others,others,55044,Central,Office Supplies,Paper,47.88,6,0.0,23.94,2020-01-19 04:01:13.491444011
